assessment_id,student_id,date_iso,skill_id,score,note
assess_1,student_1,2025-02-01,skill_1,70,
assess_1,student_1,2025-02-01,skill_2,85,
assess_1,student_1,2025-02-01,skill_3,60,משתפר
assess_1,student_1,2025-02-01,skill_4,75,
assess_1,student_1,2025-02-01,skill_5,80,
assess_1,student_1,2025-02-01,skill_6,90,
assess_1,student_1,2025-02-01,skill_7,65,
assess_1,student_1,2025-02-01,skill_8,70,
assess_1,student_1,2025-02-01,skill_9,55,לעבוד על אסרטיביות
assess_2,student_1,2025-02-15,skill_1,72,
assess_2,student_1,2025-02-15,skill_2,88,
assess_2,student_1,2025-02-15,skill_3,65,
assess_2,student_1,2025-02-15,skill_4,78,
assess_2,student_1,2025-02-15,skill_5,82,
assess_2,student_1,2025-02-15,skill_6,90,
assess_2,student_1,2025-02-15,skill_7,70,
assess_2,student_1,2025-02-15,skill_8,72,
assess_2,student_1,2025-02-15,skill_9,58,
assess_3,student_2,2025-02-10,skill_1,80,
assess_3,student_2,2025-02-10,skill_2,75,
assess_3,student_2,2025-02-10,skill_3,85,
assess_3,student_2,2025-02-10,skill_4,70,
assess_3,student_2,2025-02-10,skill_5,65,
assess_3,student_2,2025-02-10,skill_6,78,
assess_3,student_2,2025-02-10,skill_7,82,
assess_3,student_2,2025-02-10,skill_8,88,
assess_3,student_2,2025-02-10,skill_9,72,
assess_4,student_3,2025-02-12,skill_1,50,
assess_4,student_3,2025-02-12,skill_2,55,
assess_4,student_3,2025-02-12,skill_3,45,
assess_4,student_3,2025-02-12,skill_4,60,
assess_4,student_3,2025-02-12,skill_5,52,
assess_4,student_3,2025-02-12,skill_6,48,
assess_4,student_3,2025-02-12,skill_7,58,
assess_4,student_3,2025-02-12,skill_8,62,
assess_4,student_3,2025-02-12,skill_9,55,
assess_5,student_4,2025-02-14,skill_1,90,
assess_5,student_4,2025-02-14,skill_2,85,
assess_5,student_4,2025-02-14,skill_3,88,
assess_5,student_4,2025-02-14,skill_4,92,
assess_5,student_4,2025-02-14,skill_5,87,
assess_5,student_4,2025-02-14,skill_6,90,
assess_5,student_4,2025-02-14,skill_7,85,
assess_5,student_4,2025-02-14,skill_8,88,
assess_5,student_4,2025-02-14,skill_9,82,
assess_6,student_5,2025-02-16,skill_1,68,
assess_6,student_5,2025-02-16,skill_2,72,
assess_6,student_5,2025-02-16,skill_3,70,
assess_6,student_5,2025-02-16,skill_4,75,
assess_6,student_5,2025-02-16,skill_5,78,
assess_6,student_5,2025-02-16,skill_6,65,
assess_6,student_5,2025-02-16,skill_7,80,
assess_6,student_5,2025-02-16,skill_8,74,
assess_6,student_5,2025-02-16,skill_9,70,
